COD,MUNIC
261080,"PEDRA, PE"
314890,"PEDRA DO INDAIA, MG"
240950,"PEDRA GRANDE, RN"
314910,"PEDRALVA, MG"
292410,"PEDRAO, BA"
210820,"PEDREIRAS, MA"
314920,"PEDRINOPOLIS, MG"
171650,"PEDRO AFONSO, TO"
240970,"PEDRO AVELINO, RN"
500640,"PEDRO GOMES, MS"
314930,"PEDRO LEOPOLDO, MG"
171660,"PEIXE, TO"
353730,"PENAPOLIS, SP"
314950,"PEQUERI, MG"
353750,"PEREIRAS, SP"
411890,"PEROLA, PR"
330120,"CARMO, RJ"
311430,"CARMO DO PARANAIBA, MG"
520500,"CARMO DO RIO VERDE, GO"
311450,"CARMOPOLIS DE MINAS, MG"
240240,"CARNAUBA DOS DANTAS, RN"
270180,"CARNEIROS, AL"
250410,"CARRAPATEIRA, PB"
311490,"CASA GRANDE, MG"
170390,"CASEARA, TO"
311510,"CASSIA, MG"
520505,"CASTELANDIA, GO"
410490,"CASTRO, PR"
230360,"CATARINA, CE"
510305,"CLAUDIA, MT"
351190,"CLEMENTINA, SP"
510310,"COCALINHO, MT"
520551,"COCALZINHO DE GOIAS, GO"
210330,"CODO, MA"
510320,"COLIDER, MT"
170550,"COLINAS DO TOCANTINS, TO"
270210,"COLONIA LEOPOLDINA, AL"
330095,"COMENDADOR LEVY GASPARIAN, RJ"
311710,"CONCEICAO DA APARECIDA, MG"
311740,"CONCEICAO DE IPANEMA, MG"
320170,"CONCEICAO DO CASTELO, ES"
311750,"CONCEICAO DO MATO DENTRO, MG"
311770,"CONCEICAO DO RIO VERDE, MG"
311290,"CAPUTIRA, MG"
351050,"CARAGUATATUBA, SP"
351060,"CARAPICUIBA, SP"
250407,"CARAUBAS, PB"
351070,"CARDOSO, SP"
220255,"CARIDADE DO PIAUI, PI"
230320,"CARIRIACU, CE"
150590,"PORTO DE MOZ, PA"
510680,"PORTO DOS GAUCHOS, MT"
354070,"PORTO FERREIRA, SP"
431500,"PORTO LUCENA, RS"
330411,"PORTO REAL, RJ"
110020,"PORTO VELHO, RO"
431510,"PORTO XAVIER, RS"
292540,"POTIRAGUA, BA"
521450,"NEROPOLIS, GO"
314130,"MEDEIROS, MG"
292120,"MIGUEL CALMON, BA"
353000,"MIRA ESTRELA, SP"
411600,"MIRASELVA, PR"
421090,"MODELO, SC"
421100,"MONDAI, SC"
353120,"MONTE ALEGRE DO SUL, SP"
130260,"MANAUS, AM"
313940,"MANHUACU, MG"
352870,"MARABA PAULISTA, SP"
510558,"MARCELANDIA, MT"
171250,"MARIANOPOLIS DO TOCANTINS, TO"
314020,"MARIPA DE MINAS, MG"
421060,"MASSARANDUBA, SC"
313780,"LAMBARI, MG"
352650,"LAVINIA, SP"
313835,"LEME DO PRADO, MG"
352700,"LINDOIA, SP"
240700,"LUIS GOMES, RN"
110032,"SAO MIGUEL DO GUAPORE, RO"
221040,"SAO MIGUEL DO TAPUIO, PI"
130390,"SAO PAULO DE OLIVENCA, AM"
330520,"SAO PEDRO DA ALDEIA, RJ"
421725,"SAO PEDRO DE ALCANTARA, SC"
316150,"SAO GERALDO, MG"
150745,"SAO GERALDO DO ARAGUAIA, PA"
231240,"SAO GONCALO DO AMARANTE, CE"
220980,"SAO GONCALO DO PIAUI, PI"
270360,"JAPARATINGA, AL"
411230,"JAPIRA, PR"
500480,"JAPORA, MS"
431113,"JARI, RS"
521190,"JATAI, GO"
210545,"JATOBA, MA"
352530,"JAU, SP"
313545,"JENIPAPO DE MINAS, MG"
291800,"JEQUIE, BA"
313590,"JESUANIA, MG"
110012,"JI-PARANA, RO"
420900,"JOACABA, SC"
410965,"HONORIO SERPA, PR"
351930,"IBATE, SP"
291220,"IBICOARA, BA"
312980,"IBIRITE, MG"
270310,"IGACI, AL"
240400,"FRUTUOSO GOMES, RN"
260590,"GAMELEIRA, PE"
220435,"GEMINIANO, PI"
260610,"GLORIA DO GOITA, PE"
240430,"GOVERNADOR DIX-SEPT ROSADO, RN"
230480,"GRANJEIRO, CE"
291165,"GUAJERU, BA"
430790,"FARROUPILHA, RS"
120030,"FEIJO, AC"
351550,"FERNANDOPOLIS, SP"
351590,"FLOREAL, SP"
312600,"FLORESTAL, MG"
312520,"FAMA, MG"
431190,"MARCELINO RAMOS, RS"
411460,"MARECHAL CANDIDO RONDON, PR"
421055,"MAREMA, SC"
520050,"ALOANDIA, GO"
310190,"ALPINOPOLIS, MG"
210040,"ALTAMIRA DO MARANHAO, MA"
350110,"ALTO ALEGRE, SP"
510030,"ALTO ARAGUAIA, MT"
510040,"ALTO GARCAS, MT"
510050,"ALTO PARAGUAI, MT"
210050,"ALTO PARNAIBA, MA"
310210,"ALTO RIO DOCE, MG"
310230,"ALVINOPOLIS, MG"
310240,"ALVORADA DE MINAS, MG"
210055,"AMAPA DO MARANHAO, MA"
220050,"AMARANTE, PI"
520090,"AMORINOPOLIS, GO"
350190,"AMPARO, SP"
310250,"AMPARO DO SERRA, MG"
210070,"ANAJATUBA, MA"
130008,"ANAMA, AM"
520110,"ANAPOLIS, GO"
150085,"ANAPU, PA"
500070,"ANASTACIO, MS"
420080,"ANCHIETA, SC"
320040,"ANCHIETA, ES"
310260,"ANDRADAS, MG"
330010,"ANGRA DOS REIS, RJ"
350230,"ANHEMBI, SP"
431280,"NOVA ARACA, RS"
352910,"MARINOPOLIS, SP"
291500,"ITAETE, BA"
312750,"GONZAGA, MG"
420455,"CORREIA PINTO, SC"
520055,"ALTO HORIZONTE, GO"
520085,"AMERICANO DO BRASIL, GO"
520330,"BELA VISTA DE GOIAS, GO"
520425,"CACHOEIRA DOURADA, GO"
520590,"CORUMBAIBA, GO"
520630,"CRISTIANOPOLIS, GO"
520650,"CROMINIA, GO"
520830,"DIVINOPOLIS DE GOIAS, GO"
520880,"GOIANIRA, GO"
521180,"JARAGUA, GO"
521295,"MATRINCHA, GO"
521305,"MIMOSO DE GOIAS, GO"
521370,"MONTES CLAROS DE GOIAS, GO"
521483,"NOVA CRIXAS, GO"
521920,"SANTA CRUZ DE GOIAS, GO"
521960,"SANTA TEREZA DE GOIAS, GO"
521975,"SANTO ANTONIO DO DESCOBERTO, GO"
522028,"SAO PATRICIO, GO"
522040,"SAO SIMAO, GO"
522200,"VIANOPOLIS, GO"
522230,"VILA PROPICIO, GO"
539926,"ASA SUL, DF"
539927,"ASA NORTE, DF"
539928,"REGIAO ADMINISTRATIVA DO ITAPOA, DF"
539929,"ESTRUTURAL, DF"
421560,"SANTA ROSA DE LIMA, SC"
421565,"SANTA ROSA DO SUL, SC"
251380,"SANTA TERESINHA, PB"
521970,"SANTA TEREZINHA DE GOIAS, GO"
354720,"SANTANA DA PONTE PENSA, SP"
354730,"SANTANA DE PARNAIBA, SP"
231200,"SANTANA DO ACARAU, CE"
315880,"SANTANA DO JACARE, MG"
241140,"SANTANA DO MATOS, RN"
280640,"SANTANA DO SAO FRANCISCO, SE"
292830,"SANTANOPOLIS, BA"
510726,"SANTO AFONSO, MT"
431750,"SANTO ANGELO, RS"
431760,"SANTO ANTONIO DA PATRULHA, RS"
330470,"SANTO ANTONIO DE PADUA, RJ"
316000,"SANTO ANTONIO DO AVENTUREIRO, MG"
431650,"SALVADOR DO SUL, RS"
171880,"SAMPAIO, TO"
521900,"SANCLERLANDIA, GO"
261240,"SANHARO, PE"
521910,"SANTA BARBARA DE GOIAS, GO"
150635,"SANTA BARBARA DO PARA, PA"
261255,"SANTA FILOMENA, PE"
412350,"SANTA HELENA, PR"
350740,"BORBOREMA, SP"
350745,"BOREBI, SP"
420270,"BOTUVERA, SC"
350760,"BRAGANCA PAULISTA, SP"
354000,"POMPEIA, SP"
150570,"PONTA DE PEDRAS, PA"
510665,"PONTAL DO ARAGUAIA, MT"
431477,"PONTAO, RS"
421335,"PONTE ALTA DO NORTE, SC"
354050,"PORANGABA, SP"
431480,"PORTAO, RS"
261070,"PAULISTA, PE"
431415,"PAVERAMA, RS"
353670,"PEDERNEIRAS, SP"
314875,"PEDRA BONITA, MG"
314880,"PEDRA DO ANTA, MG"
251110,"PEDRA LAVRADA, PB"
240960,"PEDRA PRETA, RN"
251120,"PEDRAS DE FOGO, PB"
353710,"PEDREIRA, SP"
431420,"PEDRO OSORIO, RS"
431430,"PEJUCARA, RS"
240990,"PENDENCIAS, RN"
314970,"PERDIGAO, MG"
411900,"PEROLA D'OESTE, PR"
353760,"PERUIBE, SP"
315000,"PESCADOR, MG"
421270,"PETROLANDIA, SC"
261110,"PETROLINA, PE"
220795,"NOVA SANTA RITA, PI"
270680,"PIACABUCU, AL"
353770,"PIACATU, SP"
292430,"PIATA, BA"
350070,"AGUDOS, SP"
250020,"AGUIAR, PB"
310130,"ALAGOA, MG"
250050,"ALAGOINHA, PB"
350075,"ALAMBARI, SP"
230050,"ALCANTARAS, CE"
210030,"ALDEIAS ALTAS, MA"
420070,"ALFREDO WAGNER, SC"
150050,"ALMEIRIM, PA"
521680,"PETROLINA DE GOIAS, GO"
251130,"PIANCO, PB"
251140,"PICUI, PB"
315040,"PIEDADE DOS GERAIS, MG"
270690,"PILAR, AL"
521690,"PILAR DE GOIAS, GO"
241000,"PILOES, RN"
411770,"PALMEIRA, PR"
270630,"PALMEIRA DOS INDIOS, AL"
261010,"PALMEIRINA, PE"
431380,"PALMITINHO, RS"
353540,"PANORAMA, SP"
421220,"PAPANDUVA, SC"
314720,"PARAGUACU, MG"
431400,"PARAI, RS"
353560,"PARAIBUNA, SP"
411800,"PARAISO DO NORTE, PR"
314730,"PARAISOPOLIS, MG"
411810,"PARANACITY, PR"
353590,"PARANAPUA, SP"
314740,"PARAOPEBA, MG"
410045,"ALTAMIRA DO PARANA, PR"
430055,"ALTO ALEGRE, RS"
110037,"ALTO ALEGRE DOS PARECIS, RO"
310205,"ALTO CAPARAO, MG"
313115,"IPABA, MG"
240470,"IPANGUACU, RN"
230570,"IPAUMIRIM, CE"
352110,"IPEUNA, SP"
352120,"IPORANGA, SP"
240480,"IPUEIRA, RN"
313150,"IPUIUNA, MG"
521030,"ISRAELANDIA, GO"
250690,"ITABAIANA, PB"
291465,"ITABELA, BA"
521040,"ITABERAI, GO"
313190,"ITABIRITO, MG"
171050,"ITACAJA, TO"
410920,"GUARACI, PR"
410940,"GUARAPUAVA, PR"
351820,"GUARARAPES, SP"
410960,"GUARATUBA, PR"
420660,"GUARUJA DO SUL, SC"
351885,"GUATAPARA, SP"
210490,"GUIMARAES, MA"
312910,"GURINHATA, MG"
150310,"GURUPA, PA"
430955,"HARMONIA, RS"
351900,"HERCULANDIA, SP"
230520,"HIDROLANDIA, CE"
230523,"HORIZONTE, CE"
210220,"BURITI, MA"
220200,"BURITI DOS LOPES, PI"
310930,"BURITIS, MG"
310940,"BURITIZEIRO, MG"
350570,"BARUERI, SP"
270070,"BATALHA, AL"
230210,"BATURITE, CE"
350610,"BEBEDOURO, SP"
210193,"BERNARDO DO MEARIM, MA"
310660,"BERTOPOLIS, MG"
310670,"BETIM, MG"
310690,"BICAS, MG"
350660,"BIRITIBA-MIRIM, SP"
410302,"BOA ESPERANCA DO IGUACU, PR"
410304,"BOA VENTURA DE SAO ROQUE, PR"
210197,"BOA VISTA DO GURUPI, MA"
350690,"BOFETE, SP"
210200,"BOM JARDIM, MA"
310750,"BOM JARDIM DE MINAS, MG"
432377,"WESTFALIA, RS"
510325,"COLNIZA, MT"
510617,"NOVA NAZARE, MT"
510631,"NOVO SANTO ANTONIO, MT"
510774,"SANTA CRUZ DO XINGU, MT"
510779,"SANTO ANTONIO DO LESTE, MT"
510788,"SERRA NOVA DOURADA, MT"
520485,"CAMPO LIMPO DE GOIAS, GO"
521225,"LAGOA SANTA, GO"
280760,"UMBAUBA, SE"
293135,"TEIXEIRA DE FREITAS, BA"
500750,"ROCHEDO, MS"
431213,"MATO CASTELHANO, RS"
520549,"CIDADE OCIDENTAL, GO"
220273,"COIVARAS, PI"
432166,"TRES CACHOEIRAS, RS"
251280,"RIACHO DOS CAVALOS, PB"
411620,"MORRETES, PR"
221110,"UNIAO, PI"
316430,"SAO ROQUE DE MINAS, MG"
316240,"SAO JOAO DA PONTE, MG"
353720,"PEDRO DE TOLEDO, SP"
280445,"NOSSA SENHORA APARECIDA, SE"
421020,"MAJOR GERCINO, SC"
320300,"IUNA, ES"
431070,"ITATIBA DO SUL, RS"
320245,"IBATIBA, ES"
230365,"CATUNDA, CE"
290160,"ANTAS, BA"
312440,"ESPIRITO SANTO DO DOURADO, MG"
210350,"COLINAS, MA"
270120,"CACIMBINHAS, AL"
350115,"ALUMINIO, SP"
293250,"UNA, BA"
431920,"SAO NICOLAU, RS"
354460,"SABINO, SP"
354120,"PRESIDENTE BERNARDES, SP"
292400,"PAULO AFONSO, BA"
230920,"NOVA OLINDA, CE"
311787,"CONFINS, MG"
311820,"CONQUISTA, MG"
311850,"CONSOLACAO, MG"
270220,"COQUEIRO SECO, AL"
410630,"CORBELIA, PR"
230400,"COREAU, CE"
311910,"CORINTO, MG"
240290,"CORONEL JOAO PESSOA, RN"
351260,"CORONEL MACEDO, SP"
311950,"CORONEL MURTA, MG"
410650,"CORONEL VIVIDA, PR"
260480,"CORTES, PE"
351270,"CORUMBATAI, SP"
110008,"COSTA MARQUES, RO"
312010,"COUTO DE MAGALHAES DE MINAS, MG"
430600,"CRISSIUMAL, RS"
312030,"CRISTALIA, MG"
312050,"CRISTINA, MG"
520640,"CRIXAS, GO"
230423,"CROATA, CE"
230425,"CRUZ, CE"
250490,"CRUZ DO ESPIRITO SANTO, PB"
311570,"CENTRAL DE MINAS, MG"
410520,"CERRO AZUL, PR"
430517,"CERRO GRANDE DO SUL, RS"
260450,"CHA GRANDE, PE"
170510,"CHAPADA DA NATIVIDADE, TO"
430540,"CHIAPETTA, RS"
110092,"CHUPINGUAIA, RO"
352070,"INDIAPORA, SP"
431041,"INHACORA, RS"
352080,"INUBIA PAULISTA, SP"
352090,"IPAUSSU, SP"
270730,"PORTO CALVO, AL"
270740,"PORTO DE PEDRAS, AL"
354060,"PORTO FELIZ, SP"
210900,"PORTO FRANCO, MA"
500690,"PORTO MURTINHO, MS"
292530,"PORTO SEGURO, BA"
412030,"PORTO VITORIA, PR"
521830,"POSSE, GO"
354080,"POTIRENDABA, SP"
354100,"PRAIA GRANDE, SP"
354105,"PRATANIA, SP"
354110,"PRESIDENTE ALVES, SP"
292560,"PRESIDENTE DUTRA, BA"
421400,"PRESIDENTE GETULIO, SC"
110025,"PRESIDENTE MEDICI, RO"
210930,"PRESIDENTE VARGAS, MA"
